ID,gardian_gender_T1,gardian_age_T1,prefecture_T1,area_T1,married_T1,familyincome_T1,pinincome_T1,job_T1,child_gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,health1_T1,health2_T1,health3_T1,health4_T1,health5_T1,panas1_T1,panas2_T1,panas3_T1,panas4_T1,panas5_T1,panas6_T1,panas7_T1,panas8_T1,panas9_T1,panas10_T1,panas11_T1,panas12_T1,panas13_T1,panas14_T1,panas15_T1,panas16_T1
16493389,0,45,29,5,2,2,2,5,0,4,1,7,4,7,7,1,1,1,7,4,4,4,2,2,2,5,1,4,1,1,1,4,1,2,1,5,1,6,3,1,1,1
16508074,1,56,12,3,2,.,.,8,1,5,6,6,2,7,7,4,5,6,7,6,6,5,6,6,4,5,1,5,1,5,5,6,4,3,1,2,1,5,4,1,1,6
16509080,1,42,15,4,2,4,1,9,0,1,1,2,1,1,1,1,1,1,1,7,2,6,6,6,6,6,3,3,3,3,4,3,4,2,4,3,4,2,4,3,3,4
16513506,0,48,34,6,2,3,2,5,0,4,4,4,1,7,7,7,4,4,7,7,7,5,5,6,2,5,1,5,1,4,1,5,1,3,3,3,3,3,3,3,3,3
16513779,0,40,23,4,2,3,3,4,1,4,4,5,5,7,6,4,3,4,6,3,5,2,2,3,2,2,4,3,4,4,3,3,3,5,6,4,5,3,2,4,5,4
16518102,1,43,11,3,2,4,1,9,1,7,6,7,5,7,6,7,4,2,7,4,3,2,3,4,5,3,2,4,2,4,4,4,5,5,5,5,5,5,2,3,4,2
16525926,1,43,27,5,2,.,.,5,1,6,2,5,1,5,3,3,3,2,7,2,2,3,2,5,1,5,2,5,2,5,2,5,4,5,5,2,2,5,1,5,3,3
16541830,1,46,13,3,2,5,2,9,0,4,7,4,5,5,5,6,6,6,6,6,4,2,2,3,2,2,2,4,3,4,3,3,2,4,3,3,3,4,2,4,4,3
16559397,1,47,13,3,2,3,1,9,1,5,7,5,2,7,6,7,3,2,7,5,6,5,3,4,6,4,3,5,3,2,5,2,4,4,2,2,2,5,2,5,5,6
16569129,0,48,42,8,2,5,4,4,1,5,7,7,5,7,7,6,6,4,6,6,6,5,5,4,4,4,3,4,2,4,2,4,4,4,3,4,3,4,3,4,3,3
16572415,1,41,2,2,2,1,1,9,1,3,1,4,2,2,4,3,4,5,4,4,5,4,4,4,3,3,2,3,1,3,3,3,3,5,5,4,4,3,3,4,4,4
16601884,1,44,43,8,2,3,1,8,0,6,1,1,1,7,6,6,6,2,7,4,4,6,6,6,6,6,1,5,1,1,1,1,1,4,1,1,1,5,1,1,1,1
16605676,1,40,28,5,2,3,1,9,1,3,5,4,6,6,6,6,6,4,6,6,6,4,4,3,4,3,4,4,4,3,4,3,3,3,4,3,4,4,3,3,4,3
16625273,1,43,10,3,2,.,.,5,0,3,1,6,4,7,6,6,6,5,6,6,6,3,2,3,3,4,4,3,5,3,4,3,6,4,6,3,5,3,3,3,4,4
